model_type,config_id,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,1,0.013219812605303055,1.6643517213609687,58.662862062454224,0.001,500,20,10,5,1.03,1.01,1000.0,500.0
MLP,2,0.014422255296297416,1.6624176856606332,58.27054738998413,0.001,500,20,10,5,1.03,1.01,1000.0,1000.0
MLP,3,0.02715184454298044,1.638203029305503,57.77449917793274,0.001,500,20,10,5,1.03,1.03,1000.0,100.0
MLP,4,0.018816346831058695,1.6516852773742239,59.19707632064819,0.001,500,20,10,5,1.03,1.03,1000.0,500.0
MLP,5,0.0346324424930563,1.627390431897225,59.37286853790283,0.001,500,20,10,5,1.03,1.03,1000.0,1000.0
MLP,6,0.01630491928758121,1.6597080424212125,116.01356029510498,0.001,1000,20,10,5,1.03,1.01,1000.0,100.0
MLP,7,0.008039755887383893,1.6799917230834815,115.74143981933594,0.001,1000,20,10,5,1.03,1.01,1000.0,500.0
MLP,8,0.013157135199613762,1.6694902226839676,115.1937301158905,0.001,1000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,9,0.01674716221710376,1.6538686414650323,115.61577558517456,0.001,1000,20,10,5,1.03,1.03,1000.0,100.0
MLP,10,0.00798614990598977,1.6783078966661746,115.66736197471619,0.001,1000,20,10,5,1.03,1.03,1000.0,500.0
MLP,11,0.014719366864538324,1.6599545907892472,115.61911201477051,0.001,1000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,12,0.00891614869613556,1.6604691736933208,229.92786812782288,0.001,2000,20,10,5,1.03,1.01,1000.0,100.0
MLP,13,0.017376113947764445,1.6556806579222685,229.30522751808167,0.001,2000,20,10,5,1.03,1.01,1000.0,500.0
MLP,14,0.020105348338868897,1.6473125425141035,228.60192823410034,0.001,2000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,15,0.0095632956091882,1.6743893489127637,230.35163164138794,0.001,2000,20,10,5,1.03,1.03,1000.0,100.0
MLP,16,0.005403522996636481,1.6720529347285829,230.29017639160156,0.001,2000,20,10,5,1.03,1.03,1000.0,500.0
MLP,17,0.018285466953787556,1.6492062840492618,228.3460795879364,0.001,2000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,18,0.0401874425070311,1.60184082920039,58.83177089691162,0.0005,500,20,10,5,1.03,1.01,1000.0,100.0
MLP,19,0.036073575532294795,1.6105732924691756,57.69677972793579,0.0005,500,20,10,5,1.03,1.01,1000.0,500.0
MLP,20,0.04180885731521623,1.5868816757265725,59.93705487251282,0.0005,500,20,10,5,1.03,1.01,1000.0,1000.0
MLP,21,0.10015058808908128,1.4470452532401088,61.123761892318726,0.0005,500,20,10,5,1.03,1.03,1000.0,100.0
MLP,22,0.10940994162393776,1.4440483055385782,59.418532848358154,0.0005,500,20,10,5,1.03,1.03,1000.0,500.0
MLP,23,0.0908790192018503,1.4735297880193299,58.24177837371826,0.0005,500,20,10,5,1.03,1.03,1000.0,1000.0
MLP,24,0.03395204607588699,1.6195827222204213,115.13083744049072,0.0005,1000,20,10,5,1.03,1.01,1000.0,100.0
MLP,25,0.029923267724286644,1.6320552597100961,114.66966080665588,0.0005,1000,20,10,5,1.03,1.01,1000.0,500.0
MLP,26,0.04231692124655371,1.5955356950200617,116.35515284538269,0.0005,1000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,27,0.03300598686818369,1.622650860639763,116.42255330085754,0.0005,1000,20,10,5,1.03,1.03,1000.0,100.0
MLP,28,0.043048176541086725,1.5944661465257428,116.35337948799133,0.0005,1000,20,10,5,1.03,1.03,1000.0,500.0
MLP,29,0.03297266463076841,1.6162053133961178,113.70555925369263,0.0005,1000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,30,0.04233426083389454,1.6043881312544583,229.35679388046265,0.0005,2000,20,10,5,1.03,1.01,1000.0,100.0
MLP,31,0.024966858059236003,1.638612835293976,231.31165075302124,0.0005,2000,20,10,5,1.03,1.01,1000.0,500.0
MLP,32,0.01571941558736032,1.6574276987257426,230.52272534370422,0.0005,2000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,33,0.05155563824455175,1.5577473949656446,229.20530462265015,0.0005,2000,20,10,5,1.03,1.03,1000.0,100.0
MLP,34,0.034249971175953346,1.613829816379216,230.4154989719391,0.0005,2000,20,10,5,1.03,1.03,1000.0,500.0
MLP,35,0.029161570291975563,1.6242155107018132,230.3029932975769,0.0005,2000,20,10,5,1.03,1.03,1000.0,1000.0
