model_type,config_id,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
trans,0,0.008263508398590347,1.666971413503104,66.88265538215637,0.001,500,20,10,5,1.03,1.01,1000.0,100.0
trans,1,0.033577999471661985,1.6246279564813753,65.51372647285461,0.001,500,20,10,5,1.03,1.01,1000.0,500.0
trans,2,0.010001242615814898,1.67803685886634,66.5910382270813,0.001,500,20,10,5,1.03,1.01,1000.0,1000.0
trans,3,0.004996266671736793,1.6905747185032811,67.38068318367004,0.001,500,20,10,5,1.03,1.03,1000.0,100.0
trans,4,0.03015450765442776,1.6305790806327267,66.0817449092865,0.001,500,20,10,5,1.03,1.03,1000.0,500.0
trans,5,0.010848753402565803,1.67020013568409,65.60274910926819,0.001,500,20,10,5,1.03,1.03,1000.0,1000.0
trans,6,0.002397247986491859,1.661494344939829,130.05897402763367,0.001,1000,20,10,5,1.03,1.01,1000.0,100.0
trans,7,0.023216165570629346,1.6385242018203152,132.73850226402283,0.001,1000,20,10,5,1.03,1.01,1000.0,500.0
trans,8,0.007077016378132825,1.6826270199740396,135.1699824333191,0.001,1000,20,10,5,1.03,1.01,1000.0,1000.0
trans,9,0.0018190357882839684,1.6576712401487628,135.89737153053284,0.001,1000,20,10,5,1.03,1.03,1000.0,100.0
trans,10,0.008775686362424248,1.6802398947852049,146.13459634780884,0.001,1000,20,10,5,1.03,1.03,1000.0,500.0
trans,11,0.005027598378868299,1.6912830607803366,145.6199595928192,0.001,1000,20,10,5,1.03,1.03,1000.0,1000.0
trans,12,0.004057014189548619,1.677765686414899,294.6872582435608,0.001,2000,20,10,5,1.03,1.01,1000.0,100.0
trans,13,0.004297100224515004,1.6731520996672185,294.1884710788727,0.001,2000,20,10,5,1.03,1.01,1000.0,500.0
trans,14,0.007737762282273894,1.681633455444838,292.63253808021545,0.001,2000,20,10,5,1.03,1.01,1000.0,1000.0
trans,15,0.0032570095749133213,1.6767580504484425,293.2258427143097,0.001,2000,20,10,5,1.03,1.03,1000.0,100.0
trans,16,0.004189702227000916,1.6956715908267253,296.9495131969452,0.001,2000,20,10,5,1.03,1.03,1000.0,500.0
trans,17,0.0033848561685647554,1.6749594837220598,295.7062313556671,0.001,2000,20,10,5,1.03,1.03,1000.0,1000.0
trans,18,0.038657538350465835,1.6105878336848418,73.47708821296692,0.0005,500,20,10,5,1.03,1.01,1000.0,100.0
trans,19,0.020036271184425983,1.6503809411427888,73.20382690429688,0.0005,500,20,10,5,1.03,1.01,1000.0,500.0
trans,20,0.04069016627097126,1.6148137047735083,73.61914157867432,0.0005,500,20,10,5,1.03,1.01,1000.0,1000.0
trans,21,0.02864469841832564,1.627431920205101,73.71204113960266,0.0005,500,20,10,5,1.03,1.03,1000.0,100.0
trans,22,0.03904355071282967,1.592214610977791,71.60909366607666,0.0005,500,20,10,5,1.03,1.03,1000.0,500.0
trans,23,0.02231393693957607,1.6515356630763103,71.57370281219482,0.0005,500,20,10,5,1.03,1.03,1000.0,1000.0
trans,24,0.02125333544150862,1.6419738269580035,142.4749412536621,0.0005,1000,20,10,5,1.03,1.01,1000.0,100.0
trans,25,0.014903913144171537,1.660317410508918,142.23074316978455,0.0005,1000,20,10,5,1.03,1.01,1000.0,500.0
trans,26,0.030826721669852387,1.6217144772507452,142.97408151626587,0.0005,1000,20,10,5,1.03,1.01,1000.0,1000.0
trans,27,0.00840561618034304,1.68002806379261,138.3453712463379,0.0005,1000,20,10,5,1.03,1.03,1000.0,100.0
trans,28,0.00677323366774475,1.6853085528204381,126.4794933795929,0.0005,1000,20,10,5,1.03,1.03,1000.0,500.0
trans,29,0.010875150445197325,1.676333064176518,129.07230353355408,0.0005,1000,20,10,5,1.03,1.03,1000.0,1000.0
trans,30,0.012047436234929319,1.6665379645714973,259.3163228034973,0.0005,2000,20,10,5,1.03,1.01,1000.0,100.0
trans,31,0.007274987976724291,1.682439333785195,257.13679218292236,0.0005,2000,20,10,5,1.03,1.01,1000.0,500.0
trans,32,0.013828716758493361,1.6644048469710522,256.6201720237732,0.0005,2000,20,10,5,1.03,1.01,1000.0,1000.0
trans,33,0.0055667626818380386,1.6913924634745299,253.66163682937622,0.0005,2000,20,10,5,1.03,1.03,1000.0,100.0
trans,34,0.012064980575081246,1.6726835456450568,251.836195230484,0.0005,2000,20,10,5,1.03,1.03,1000.0,500.0
trans,35,0.021628292791426928,1.6436131686213298,251.76905989646912,0.0005,2000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0,0.022216563531189015,1.6448432549072978,57.546732902526855,0.001,500,20,10,5,1.03,1.01,1000.0,100.0
