model_type,config_id,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
trans,28,0.010004937074462476,1.3609621921455128,67.5915277004242,0.0005,1000,20,10,5,1.03,1.03,1000.0,500.0
trans,29,0.007349003423013163,1.3700956219370757,68.01373720169067,0.0005,1000,20,10,5,1.03,1.03,1000.0,1000.0
trans,30,0.0036698042312433886,1.362916249631858,137.68115377426147,0.0005,2000,20,10,5,1.03,1.01,1000.0,100.0
trans,31,0.004178006706574736,1.3725780622068797,137.70923256874084,0.0005,2000,20,10,5,1.03,1.01,1000.0,500.0
trans,32,0.005373513016283545,1.3668146544193853,136.66699504852295,0.0005,2000,20,10,5,1.03,1.01,1000.0,1000.0
trans,33,0.0038102832233551744,1.3579690118506353,139.2388777732849,0.0005,2000,20,10,5,1.03,1.03,1000.0,100.0
trans,34,0.005527486718725111,1.3680271097990158,138.8177421092987,0.0005,2000,20,10,5,1.03,1.03,1000.0,500.0
trans,35,0.006719520629668961,1.3652700262903539,139.34527683258057,0.0005,2000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,0,0.003457404799422991,1.3655960621117813,28.211488008499146,0.001,500,20,10,5,1.03,1.01,1000.0,100.0
MLP,1,0.004726766656047763,1.3682341874432602,27.739306449890137,0.001,500,20,10,5,1.03,1.01,1000.0,500.0
MLP,2,0.009484430026485668,1.361707352972576,27.259004831314087,0.001,500,20,10,5,1.03,1.01,1000.0,1000.0
MLP,3,0.004007808273368803,1.359650738735308,27.15828013420105,0.001,500,20,10,5,1.03,1.03,1000.0,100.0
MLP,4,0.00649371051020492,1.370462788986225,26.94598627090454,0.001,500,20,10,5,1.03,1.03,1000.0,500.0
MLP,5,0.0062255997991363,1.3716713400436318,27.00492763519287,0.001,500,20,10,5,1.03,1.03,1000.0,1000.0
MLP,6,0.0033384031736945576,1.3674914737643524,58.56584286689758,0.001,1000,20,10,5,1.03,1.01,1000.0,100.0
MLP,7,0.006399743001498823,1.3652157755193144,57.66542458534241,0.001,1000,20,10,5,1.03,1.01,1000.0,500.0
MLP,8,0.0053149380128009556,1.3685359961662842,55.7348530292511,0.001,1000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,9,0.003590790114220324,1.3634157058520753,58.90397572517395,0.001,1000,20,10,5,1.03,1.03,1000.0,100.0
MLP,10,0.004606584547398504,1.3733310352460866,58.048882484436035,0.001,1000,20,10,5,1.03,1.03,1000.0,500.0
MLP,11,0.006536527497795069,1.3648710723974335,56.83513379096985,0.001,1000,20,10,5,1.03,1.03,1000.0,1000.0
MLP,12,0.0031599080685537516,1.3600080413669549,119.09976172447205,0.001,2000,20,10,5,1.03,1.01,1000.0,100.0
MLP,13,0.005823095930139156,1.3670769981578392,126.62729096412659,0.001,2000,20,10,5,1.03,1.01,1000.0,500.0
MLP,14,0.00418180082593588,1.3626320754362662,125.65226173400879,0.001,2000,20,10,5,1.03,1.01,1000.0,1000.0
MLP,15,0.0034562708061008007,1.3646959524133322,127.74063920974731,0.001,2000,20,10,5,1.03,1.03,1000.0,100.0
MLP,16,0.005142209392862841,1.3698534116183891,127.94561743736267,0.001,2000,20,10,5,1.03,1.03,1000.0,500.0
