MED,HV,id,expo_lambda,expo_alpha,expo_beta,expo_gamma,init_params,mu,max_iter
0.00412544248032148,1.6542985910587134,0,0.51,0.1,0.3,0.3,1.0,0.0001,1000
0.004700831249803294,1.6569806074845443,1,0.51,0.1,0.3,0.3,1.0,0.01,1000
0.0041256528425830195,1.6467153219625636,2,0.51,0.1,0.3,0.3,2.0,0.0001,1000
0.0052687244086302015,1.646715321880821,3,0.51,0.1,0.3,0.3,2.0,0.01,1000
0.00265995524178717,1.6542360654366153,4,0.51,0.1,0.3,0.5,1.0,0.0001,1000
0.003426563777670906,1.6535727376347717,5,0.51,0.1,0.3,0.5,1.0,0.01,1000
0.003547794236683492,1.646715321932204,6,0.51,0.1,0.3,0.5,2.0,0.0001,1000
0.002466664281000796,1.671106484744701,7,0.51,0.1,0.3,0.5,2.0,0.01,1000
0.004093331318903298,1.6542699868274189,8,0.51,0.1,0.5,0.3,1.0,0.0001,1000
0.004266603983078555,1.6536245176675433,9,0.51,0.1,0.5,0.3,1.0,0.01,1000
0.004118410494711679,1.64671532196473,10,0.51,0.1,0.5,0.3,2.0,0.0001,1000
0.005270882465112586,1.6540185715803664,11,0.51,0.1,0.5,0.3,2.0,0.01,1000
0.003201583162186654,1.6542789970256258,12,0.51,0.1,0.5,0.5,1.0,0.0001,1000
0.0036958027474517747,1.6562230596202305,13,0.51,0.1,0.5,0.5,1.0,0.01,1000
0.0031594962747541373,1.6540185715367315,14,0.51,0.1,0.5,0.5,2.0,0.0001,1000
0.0024560782957811196,1.6784850627468746,15,0.51,0.1,0.5,0.5,2.0,0.01,1000
0.0033000194871075235,1.654341534142572,16,0.51,0.25,0.3,0.3,1.0,0.0001,1000
0.0037461863751602612,1.6578660201225377,17,0.51,0.25,0.3,0.3,1.0,0.01,1000
0.0031247535365039234,1.6467153235915046,18,0.51,0.25,0.3,0.3,2.0,0.0001,1000
0.004576794056919387,1.6643179735172122,19,0.51,0.25,0.3,0.3,2.0,0.01,1000
0.0025440184131081205,1.6542790037367754,20,0.51,0.25,0.3,0.5,1.0,0.0001,1000
0.003082072515186527,1.6762483237392076,21,0.51,0.25,0.3,0.5,1.0,0.01,1000
0.002851291695715258,1.669515176232173,22,0.51,0.25,0.3,0.5,2.0,0.0001,1000
0.0028844681028300577,1.678560467334175,23,0.51,0.25,0.3,0.5,2.0,0.01,1000
0.0032887178760084247,1.6544343144005276,24,0.51,0.25,0.5,0.3,1.0,0.0001,1000
0.0033915072720448205,1.6577781160666567,25,0.51,0.25,0.5,0.3,1.0,0.01,1000
0.002515575380850567,1.6781055507271199,26,0.51,0.25,0.5,0.3,2.0,0.0001,1000
0.00377351892337604,1.6605822559794394,27,0.51,0.25,0.5,0.3,2.0,0.01,1000
0.002528256318860525,1.6544131570515836,28,0.51,0.25,0.5,0.5,1.0,0.0001,1000
