model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
trans,0.02608934225901438,1.6355848523990388,66.83520030975342,0.0005,500,20,10,5,1.03,1.01,1000.0,1000.0
trans,0.035598070534404024,1.627144007574027,67.41464114189148,0.0005,500,20,10,5,1.03,1.03,1000.0,100.0
trans,0.0235155280128518,1.6440170205271702,65.77504801750183,0.0005,500,20,10,5,1.03,1.03,1000.0,500.0
trans,0.029149783062665507,1.6330949646605608,65.46500205993652,0.0005,500,20,10,5,1.03,1.03,1000.0,1000.0
trans,0.02907352460831376,1.631342666901854,131.33640694618225,0.0005,1000,20,10,5,1.03,1.01,1000.0,100.0
trans,0.014869541614162513,1.663884490431397,132.92744493484497,0.0005,1000,20,10,5,1.03,1.01,1000.0,500.0
trans,0.04072441595713433,1.615741441860385,133.69754695892334,0.0005,1000,20,10,5,1.03,1.01,1000.0,1000.0
trans,0.01594012522603132,1.6599856762561025,133.54850673675537,0.0005,1000,20,10,5,1.03,1.03,1000.0,100.0
trans,0.01989997404242238,1.6499003083061654,134.68022227287292,0.0005,1000,20,10,5,1.03,1.03,1000.0,500.0
trans,0.019017915089779645,1.6548048016619106,133.0342092514038,0.0005,1000,20,10,5,1.03,1.03,1000.0,1000.0
trans,0.009124613662647782,1.679455921384919,265.83825612068176,0.0005,2000,20,10,5,1.03,1.01,1000.0,100.0
trans,0.017101033933422383,1.6585367381018947,263.4618082046509,0.0005,2000,20,10,5,1.03,1.01,1000.0,500.0
trans,0.007541323265546249,1.6791474150838126,264.0593469142914,0.0005,2000,20,10,5,1.03,1.01,1000.0,1000.0
trans,0.01038674448079609,1.6748747702806868,263.78012466430664,0.0005,2000,20,10,5,1.03,1.03,1000.0,100.0
trans,0.011618637502180267,1.6748616954978977,262.51824498176575,0.0005,2000,20,10,5,1.03,1.03,1000.0,500.0
trans,0.038012800425830016,1.6131513021873751,257.96331667900085,0.0005,2000,20,10,5,1.03,1.03,1000.0,1000.0
