model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max,MED,HV,id,expo_lambda,expo_alpha,expo_beta,expo_gamma,init_params,mu,max_iter
trans,0.005929836323195384,1.6896487974728214,350.02539706230164,0.001,2000.0,50.0,10.0,1.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
trans,0.003327986393958537,1.6949751247399187,350.5656280517578,0.001,2000.0,50.0,10.0,1.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
trans,0.002915647036919051,1.6919950759654439,349.909663438797,0.001,2000.0,50.0,10.0,1.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
trans,0.007809186173116312,1.6847366661408953,348.213858127594,0.001,2000.0,50.0,10.0,5.0,1.01,1.01,1000.0,50.0,,,,,,,,,,
trans,0.007089845991684579,1.6830455223873353,347.6975224018097,0.001,2000.0,50.0,10.0,5.0,1.01,1.01,1000.0,100.0,,,,,,,,,,
trans,0.004069640906893573,1.6986218212062585,343.6066210269928,0.001,2000.0,50.0,10.0,5.0,1.01,1.01,1000.0,200.0,,,,,,,,,,
trans,0.005239134107795244,1.6963697052164515,344.65167331695557,0.001,2000.0,50.0,10.0,5.0,1.01,1.001,1000.0,50.0,,,,,,,,,,
trans,0.003344322226318041,1.6917548975900725,345.79374146461487,0.001,2000.0,50.0,10.0,5.0,1.01,1.001,1000.0,100.0,,,,,,,,,,
trans,0.0035596056359968875,1.6937402859203008,345.4725909233093,0.001,2000.0,50.0,10.0,5.0,1.01,1.001,1000.0,200.0,,,,,,,,,,
,,,,,,,,,,,,,0.0037647110333503,1.6945457973582267,0.0,0.51,0.1,0.3,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0045758034289312,1.697558915833992,1.0,0.51,0.1,0.3,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0032523244474934,1.700258513002434,2.0,0.51,0.1,0.3,0.3,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0039325625590803,1.7011131989485158,3.0,0.51,0.1,0.3,0.3,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0034497877581817,1.6945457973582267,4.0,0.51,0.1,0.3,0.5,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0047150584974149,1.6878838819670818,5.0,0.51,0.1,0.3,0.5,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0029855387580904,1.700315294812131,6.0,0.51,0.1,0.3,0.5,2.0,0.0001,1000.0
,,,,,,,,,,,,,0.0029160254427532,1.7008524195243064,7.0,0.51,0.1,0.3,0.5,2.0,0.01,1000.0
,,,,,,,,,,,,,0.0037647110333503,1.6945457973582267,8.0,0.51,0.1,0.5,0.3,1.0,0.0001,1000.0
,,,,,,,,,,,,,0.0045758034289312,1.697558915833992,9.0,0.51,0.1,0.5,0.3,1.0,0.01,1000.0
,,,,,,,,,,,,,0.0032523244474934,1.700258513002434,10.0,0.51,0.1,0.5,0.3,2.0,0.0001,1000.0
