model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,0.007496541502158896,1.3406105397307275,14.278549432754517,0.001,500,10,10,5,1.03,1.01,1000.0,100.0
MLP,0.01518464701397786,1.3180512640384603,14.457718849182129,0.001,500,10,10,5,1.03,1.01,1000.0,500.0
MLP,0.009031091100807924,1.3317093296750364,14.170027256011963,0.001,500,10,10,5,1.03,1.01,1000.0,1000.0
MLP,0.008525904996874369,1.343455594597124,14.336660146713257,0.001,500,10,10,5,1.03,1.03,1000.0,100.0
MLP,0.007298855259363403,1.3567475375387197,14.092282772064209,0.001,500,10,10,5,1.03,1.03,1000.0,500.0
MLP,0.008640773851890517,1.3328930474342893,14.568481206893921,0.001,500,10,10,5,1.03,1.03,1000.0,1000.0
MLP,0.005989728901888131,1.3431993177464896,28.835976123809814,0.001,1000,10,10,5,1.03,1.01,1000.0,100.0
MLP,0.00598034185824481,1.339825519438214,27.916227102279663,0.001,1000,10,10,5,1.03,1.01,1000.0,500.0
MLP,0.004147977783169858,1.351688978260131,28.350536584854126,0.001,1000,10,10,5,1.03,1.01,1000.0,1000.0
MLP,0.004333380977398139,1.347672307638065,29.15894603729248,0.001,1000,10,10,5,1.03,1.03,1000.0,100.0
MLP,0.005591126248356125,1.340425555259087,28.974494457244873,0.001,1000,10,10,5,1.03,1.03,1000.0,500.0
MLP,0.004990172806643053,1.3519696703937272,28.505620002746582,0.001,1000,10,10,5,1.03,1.03,1000.0,1000.0
MLP,0.009673554912139764,1.3356475916533133,59.131988525390625,0.001,2000,10,10,5,1.03,1.01,1000.0,100.0
MLP,0.0036829561900940727,1.3448572844310995,57.936293601989746,0.001,2000,10,10,5,1.03,1.01,1000.0,500.0
MLP,0.007949573448427073,1.3327910999898154,56.43215608596802,0.001,2000,10,10,5,1.03,1.01,1000.0,1000.0
MLP,0.005734371704123153,1.3433681959041892,57.77240061759949,0.001,2000,10,10,5,1.03,1.03,1000.0,100.0
MLP,0.007493815115953785,1.3330998843993975,56.62338852882385,0.001,2000,10,10,5,1.03,1.03,1000.0,500.0
MLP,0.005057413967412981,1.3410740412902988,56.97783946990967,0.001,2000,10,10,5,1.03,1.03,1000.0,1000.0
MLP,0.009847495425488767,1.3392393658794746,14.277104139328003,0.0005,500,10,10,5,1.03,1.01,1000.0,100.0
MLP,0.02522785392004745,1.3476222071034596,13.995657444000244,0.0005,500,10,10,5,1.03,1.01,1000.0,500.0
MLP,0.006786697925584113,1.3502469238219899,14.014492988586426,0.0005,500,10,10,5,1.03,1.01,1000.0,1000.0
MLP,0.024854223706236363,1.3312802871460894,14.028897285461426,0.0005,500,10,10,5,1.03,1.03,1000.0,100.0
MLP,0.009333291477733454,1.3370112072544151,14.89731478691101,0.0005,500,10,10,5,1.03,1.03,1000.0,500.0
MLP,0.005593037893227365,1.3492470083622337,16.640944004058838,0.0005,500,10,10,5,1.03,1.03,1000.0,1000.0
MLP,0.007215557238373374,1.3420741039109898,27.97081756591797,0.0005,1000,10,10,5,1.03,1.01,1000.0,100.0
MLP,0.010948764997007684,1.3374483286935637,28.11101984977722,0.0005,1000,10,10,5,1.03,1.01,1000.0,500.0
MLP,0.0044746873320865,1.3390751386614435,29.192031383514404,0.0005,1000,10,10,5,1.03,1.01,1000.0,1000.0
MLP,0.014006762198613016,1.334020209053986,29.116934776306152,0.0005,1000,10,10,5,1.03,1.03,1000.0,100.0
