model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,0.006887397644006257,1.3338084146627243,28.963934898376465,0.0005,1000,10,10,5,1.03,1.03,1000.0,500.0
MLP,0.0064365866131238115,1.3420094632508355,28.60359477996826,0.0005,1000,10,10,5,1.03,1.03,1000.0,1000.0
MLP,0.006570947554908328,1.3433907095389281,58.47229790687561,0.0005,2000,10,10,5,1.03,1.01,1000.0,100.0
MLP,0.008171547871464012,1.3319012348432264,58.4657928943634,0.0005,2000,10,10,5,1.03,1.01,1000.0,500.0
MLP,0.0064907357955782145,1.3352935559058845,57.85040521621704,0.0005,2000,10,10,5,1.03,1.01,1000.0,1000.0
MLP,0.006019639809209426,1.3457150332812982,59.10303974151611,0.0005,2000,10,10,5,1.03,1.03,1000.0,100.0
MLP,0.012508543129907356,1.3367298965510281,56.362969398498535,0.0005,2000,10,10,5,1.03,1.03,1000.0,500.0
MLP,0.005588682606020365,1.336653641601414,55.76023745536804,0.0005,2000,10,10,5,1.03,1.03,1000.0,1000.0
trans,0.008756687757514784,1.3443590808901638,18.519983530044556,0.001,500,10,10,5,1.03,1.01,1000.0,100.0
trans,0.02320268351164057,1.3379737459153138,18.116389513015747,0.001,500,10,10,5,1.03,1.01,1000.0,500.0
trans,0.016603526624186103,1.3497444727051005,17.801106691360474,0.001,500,10,10,5,1.03,1.01,1000.0,1000.0
trans,0.016732344698185193,1.3443578856198304,17.78933024406433,0.001,500,10,10,5,1.03,1.03,1000.0,100.0
trans,0.012592510928223943,1.3269688211485902,18.005287885665894,0.001,500,10,10,5,1.03,1.03,1000.0,500.0
trans,0.010866539237550706,1.3471267662192972,17.831389665603638,0.001,500,10,10,5,1.03,1.03,1000.0,1000.0
trans,0.008393103790580284,1.3391279382468888,36.48584342002869,0.001,1000,10,10,5,1.03,1.01,1000.0,100.0
trans,0.009828402275040617,1.3332876073649702,35.99364876747131,0.001,1000,10,10,5,1.03,1.01,1000.0,500.0
trans,0.008774467463603369,1.3331506284240948,35.441643714904785,0.001,1000,10,10,5,1.03,1.01,1000.0,1000.0
trans,0.010477678712632551,1.3350448853817718,35.42142391204834,0.001,1000,10,10,5,1.03,1.03,1000.0,100.0
trans,0.01086330132745698,1.3331801306234494,35.61657452583313,0.001,1000,10,10,5,1.03,1.03,1000.0,500.0
trans,0.007210922273025913,1.3382138392162686,34.9691801071167,0.001,1000,10,10,5,1.03,1.03,1000.0,1000.0
trans,0.00617364040596052,1.3448021996564297,71.49278616905212,0.001,2000,10,10,5,1.03,1.01,1000.0,100.0
trans,0.005175998881704919,1.3407525584674982,71.00238108634949,0.001,2000,10,10,5,1.03,1.01,1000.0,500.0
trans,0.008742678215750145,1.3286797147631604,71.12423324584961,0.001,2000,10,10,5,1.03,1.01,1000.0,1000.0
trans,0.006008529690074696,1.3437980842820654,73.87488555908203,0.001,2000,10,10,5,1.03,1.03,1000.0,100.0
trans,0.005899225270609527,1.3409290522114332,77.10056400299072,0.001,2000,10,10,5,1.03,1.03,1000.0,500.0
trans,0.009714300460475988,1.3307062712608189,73.92731285095215,0.001,2000,10,10,5,1.03,1.03,1000.0,1000.0
trans,0.011483712138491276,1.336928014435379,18.36762523651123,0.0005,500,10,10,5,1.03,1.01,1000.0,100.0
trans,0.017600292150371483,1.3460813952594315,18.72474193572998,0.0005,500,10,10,5,1.03,1.01,1000.0,500.0
trans,0.007968642626936103,1.3399358940183432,18.492823362350464,0.0005,500,10,10,5,1.03,1.01,1000.0,1000.0
trans,0.010600059990313306,1.333708097264196,18.03829288482666,0.0005,500,10,10,5,1.03,1.03,1000.0,100.0
trans,0.01003744724413906,1.3436031921450484,17.81957197189331,0.0005,500,10,10,5,1.03,1.03,1000.0,500.0
trans,0.010501921150231075,1.3424932205716984,18.042123556137085,0.0005,500,10,10,5,1.03,1.03,1000.0,1000.0
trans,0.008909690251324157,1.3385425721790774,37.809807777404785,0.0005,1000,10,10,5,1.03,1.01,1000.0,100.0
trans,0.007627604962798547,1.335523481693319,36.87334108352661,0.0005,1000,10,10,5,1.03,1.01,1000.0,500.0
trans,0.012788511473102856,1.328759050937417,37.4331476688385,0.0005,1000,10,10,5,1.03,1.01,1000.0,1000.0
trans,0.00967937159294477,1.3357228360983373,37.02354621887207,0.0005,1000,10,10,5,1.03,1.03,1000.0,100.0
trans,0.008109759579306167,1.330434041679164,37.666624307632446,0.0005,1000,10,10,5,1.03,1.03,1000.0,500.0
trans,0.011719000008957713,1.339758305995848,36.61113953590393,0.0005,1000,10,10,5,1.03,1.03,1000.0,1000.0
trans,0.01031897709912684,1.3358096255153815,74.56066274642944,0.0005,2000,10,10,5,1.03,1.01,1000.0,100.0
trans,0.007201718293652329,1.3358325009311443,74.23735880851746,0.0005,2000,10,10,5,1.03,1.01,1000.0,500.0
trans,0.007901209613968795,1.3304460060655516,73.75816655158997,0.0005,2000,10,10,5,1.03,1.01,1000.0,1000.0
trans,0.00586398468393425,1.3456547147200766,75.71072816848755,0.0005,2000,10,10,5,1.03,1.03,1000.0,100.0
trans,0.00822660988485206,1.3319939046344893,73.78336906433105,0.0005,2000,10,10,5,1.03,1.03,1000.0,500.0
trans,0.007443538796961277,1.3335633148850672,72.4469861984253,0.0005,2000,10,10,5,1.03,1.03,1000.0,1000.0
