model,med,hv,time,lr,num_epochs,num_partitions,beta_C_0,beta_Q_0,rho_C,rho_Q,beta_C_max,beta_Q_max
MLP,0.0038998644164581586,1.3901582351657567,363.22358298301697,0.001,2000,50,10,5,1.03,1.03,1000.0,1000.0
MLP,0.009011762104482412,1.3871348731372057,93.23151063919067,0.0005,500,50,10,5,1.03,1.01,1000.0,100.0
MLP,0.005123371046796669,1.3881833408887034,94.43245816230774,0.0005,500,50,10,5,1.03,1.01,1000.0,500.0
MLP,0.0032401284840566287,1.3874253474901725,92.19524002075195,0.0005,500,50,10,5,1.03,1.01,1000.0,1000.0
MLP,0.004021582405173848,1.3904936497325198,89.79307460784912,0.0005,500,50,10,5,1.03,1.03,1000.0,100.0
MLP,0.003026229054838127,1.3877052798127287,92.47693252563477,0.0005,500,50,10,5,1.03,1.03,1000.0,500.0
MLP,0.002565948001034909,1.3902095704451485,92.2514009475708,0.0005,500,50,10,5,1.03,1.03,1000.0,1000.0
MLP,0.0024399517898925395,1.3829443919827187,188.61994075775146,0.0005,1000,50,10,5,1.03,1.01,1000.0,100.0
MLP,0.004403634913857486,1.39015317254561,185.16922855377197,0.0005,1000,50,10,5,1.03,1.01,1000.0,500.0
MLP,0.006022562337061651,1.3895713672097219,188.16094827651978,0.0005,1000,50,10,5,1.03,1.01,1000.0,1000.0
MLP,0.004647697442490146,1.3905196912732347,185.43467545509338,0.0005,1000,50,10,5,1.03,1.03,1000.0,100.0
MLP,0.006209996459260481,1.3881526790791217,179.311603307724,0.0005,1000,50,10,5,1.03,1.03,1000.0,500.0
MLP,0.004807240587242269,1.390447837023688,185.37439703941345,0.0005,1000,50,10,5,1.03,1.03,1000.0,1000.0
MLP,0.002307405811601983,1.3839767071279312,376.53024101257324,0.0005,2000,50,10,5,1.03,1.01,1000.0,100.0
MLP,0.0019263934999083777,1.3905488370296148,392.21579027175903,0.0005,2000,50,10,5,1.03,1.01,1000.0,500.0
MLP,0.002061008188611382,1.390609166506683,374.80659461021423,0.0005,2000,50,10,5,1.03,1.01,1000.0,1000.0
MLP,0.002843889177631972,1.3871391254167307,372.03710556030273,0.0005,2000,50,10,5,1.03,1.03,1000.0,100.0
MLP,0.0036130952159940566,1.3885127630345775,373.37856245040894,0.0005,2000,50,10,5,1.03,1.03,1000.0,500.0
MLP,0.0018100115323765778,1.3901693692180714,382.0660445690155,0.0005,2000,50,10,5,1.03,1.03,1000.0,1000.0
trans,0.006260991452335818,1.3853970164128688,122.41292238235474,0.001,500,50,10,5,1.03,1.01,1000.0,100.0
trans,0.005573531869092677,1.3873156016094668,122.25369501113892,0.001,500,50,10,5,1.03,1.01,1000.0,500.0
trans,0.008213770831085153,1.387999403633007,121.32091927528381,0.001,500,50,10,5,1.03,1.01,1000.0,1000.0
trans,0.006885634365170419,1.3873795133934155,121.93118143081665,0.001,500,50,10,5,1.03,1.03,1000.0,100.0
trans,0.007707095412516508,1.3868151764513579,120.70037245750427,0.001,500,50,10,5,1.03,1.03,1000.0,500.0
trans,0.009812544590219215,1.3850423440320179,119.45512199401855,0.001,500,50,10,5,1.03,1.03,1000.0,1000.0
trans,0.002730609653442183,1.384472907272459,249.44027638435364,0.001,1000,50,10,5,1.03,1.01,1000.0,100.0
trans,0.005911976340142445,1.388064429110688,245.04680347442627,0.001,1000,50,10,5,1.03,1.01,1000.0,500.0
trans,0.004907612816728275,1.3890243419614317,242.2051157951355,0.001,1000,50,10,5,1.03,1.01,1000.0,1000.0
trans,0.0034798514215987086,1.3842171415737492,247.1942639350891,0.001,1000,50,10,5,1.03,1.03,1000.0,100.0
trans,0.00444933922834404,1.3895861527477815,244.44504737854004,0.001,1000,50,10,5,1.03,1.03,1000.0,500.0
trans,0.0021477523152890554,1.390150273233347,247.9954240322113,0.001,1000,50,10,5,1.03,1.03,1000.0,1000.0
trans,0.003263245217407663,1.388192997454651,494.17634296417236,0.001,2000,50,10,5,1.03,1.01,1000.0,100.0
trans,0.0011393623947657738,1.3903685966855672,508.68474984169006,0.001,2000,50,10,5,1.03,1.01,1000.0,500.0
trans,0.0048402365385123765,1.389674746481147,484.65452241897583,0.001,2000,50,10,5,1.03,1.01,1000.0,1000.0
trans,0.0032230290789068343,1.383626621799647,489.7609832286835,0.001,2000,50,10,5,1.03,1.03,1000.0,100.0
trans,0.006863805943812957,1.3882619849332485,478.49021577835083,0.001,2000,50,10,5,1.03,1.03,1000.0,500.0
trans,0.003037302635681289,1.3890144845372276,490.7270691394806,0.001,2000,50,10,5,1.03,1.03,1000.0,1000.0
trans,0.009292240134932269,1.3872045131644262,119.29398727416992,0.0005,500,50,10,5,1.03,1.01,1000.0,100.0
trans,0.004061283815029477,1.3881747638703308,121.2627489566803,0.0005,500,50,10,5,1.03,1.01,1000.0,500.0
trans,0.00501362624144531,1.3870748259913428,117.86268782615662,0.0005,500,50,10,5,1.03,1.01,1000.0,1000.0
trans,0.005941695957457378,1.389149874853562,118.711590051651,0.0005,500,50,10,5,1.03,1.03,1000.0,100.0
trans,0.00408172294656244,1.3877377966066387,120.91146469116211,0.0005,500,50,10,5,1.03,1.03,1000.0,500.0
trans,0.008233474688238181,1.3886902249380397,118.82772421836853,0.0005,500,50,10,5,1.03,1.03,1000.0,1000.0
trans,0.0035577314962591416,1.3828435792413951,243.29534339904785,0.0005,1000,50,10,5,1.03,1.01,1000.0,100.0
trans,0.0070742108894519505,1.3881686067211567,237.42562127113342,0.0005,1000,50,10,5,1.03,1.01,1000.0,500.0
trans,0.005325714032937035,1.3899072502519636,241.18735098838806,0.0005,1000,50,10,5,1.03,1.01,1000.0,1000.0
trans,0.003137845878759216,1.38745720326635,242.21527576446533,0.0005,1000,50,10,5,1.03,1.03,1000.0,100.0
trans,0.010282630194510397,1.3886031788130035,228.16255497932434,0.0005,1000,50,10,5,1.03,1.03,1000.0,500.0
trans,0.005432046366705976,1.3886966936151048,237.80587530136108,0.0005,1000,50,10,5,1.03,1.03,1000.0,1000.0
trans,0.003965411975067661,1.3877236583145174,482.8585617542267,0.0005,2000,50,10,5,1.03,1.01,1000.0,100.0
trans,0.0026043646207107134,1.3902019254000297,497.5890591144562,0.0005,2000,50,10,5,1.03,1.01,1000.0,500.0
trans,0.006557724464142451,1.3886565822311416,476.601521730423,0.0005,2000,50,10,5,1.03,1.01,1000.0,1000.0
trans,0.004098775170399093,1.3857276831463923,484.6533648967743,0.0005,2000,50,10,5,1.03,1.03,1000.0,100.0
trans,0.0025655714365591382,1.3903647877517016,496.2366101741791,0.0005,2000,50,10,5,1.03,1.03,1000.0,500.0
trans,0.0024208903890740956,1.390421684284288,501.9448285102844,0.0005,2000,50,10,5,1.03,1.03,1000.0,1000.0
